category,sentence
0,7170411 7453010330410836343 
0,26725 8243102914964186482 465675055219 34186463943156078 7628151 
0,1701734758 32548582676588660 1818584422 32548582676588660 1635020647 
1,28268862380666469 1796931307248235536749 1953394532 2017713247667756298087 1937204590 7633012 29301 7809644653626810734 1835099508 237149108024 28268862380666469 237149108024 8315171452881564276 7236828769668785011 58265475013603990819075124 38610361849427555935420822069859196235632 13873 
0,2239870751818644612467 465675055219 
0,1839383401 444234035047 126892467187565 24936 24936 113723912712042 
0,3166872515 7954800 7496044 24932 461229749363 474215182179 
0,7628385 114844899371366 448344782188 7500915 7499628 6582881 1752460659 7499628 114844899371366 29301 448344782188 
0,483570327845851669882470 32765890658462817 1952802157 125779970060147 
0,110386622918502 7627109 435459550323 133532268524904 7301236 495722919283 1802658157 28259001237139319 1801677171 1852994932 418666670448 7106412 
0,7106412 488440483618477422047075 
0,448345170275 7566690 113723913630310 6776677 6382964 113723913298277 1936551789 1952867692 125779969993060 1818584422 1702260588 
0,7368033 29113321653494128 7496035 7105641 1836019570 
0,1751672929 1802661751 34177655199195510 8243102914964186482 1818584422 7106412 
0,1953063287 491260308579 1701999987 1833826488630643941747 128017731252068 1702259052 
0,1751213433 469459577155443684765793 121381889794406 474215637857 128008974200947 431315576931 127991761166691 1819044212 521509560674 126935164610659 
0,1918985574 7453010382134272358 1982047556607273168744 461229356401 418498245987 
1,34178039842728326437439436147 7308901791011072370 27509 111516298932077 28258992646088803 7526762302095598275 30806569477107555 7453010403576014194 521510348146 28258992646088803 
0,7370105 32483346234567028 6779757 3166872515 452941346168 444234035047 474365388140 6581810 121424957367660 7168312 
0,1936748399 7105641 2128686143694342942578 
0,125780071048556 7496035 
0,7499628 111481939256676 
0,478560413032 1937207144 8746382394089824627 29113321805866356 28258979610322276 1869442932 111550659980905 
0,7564400 431130765409 495875023223 110386907865463 1701999987 499850244711 28268879543625079 107118353539681 
0,127978876071782 435777794659 1702260588 499917354867 31069352688185953 431197877363 120316754750829 521526932857 
1,59488595131472658336003888 125779851898738 495774233954 6779757 1819042147 521510348146 7564659 1701147238 418380476270 111516298932077 1701147238 2110234914721125720419 1819042147 64300760074859760017487920 8751168585183552868 8606223248749588340 
0,499850244711 1701867368 7233901 1819043191 28259061315432037 1952937068 126879380237929 
0,2238912146612996617668114137218732365468950883 495740281187 
0,500068280676 7365992 34178039841650267428311887209 27419012789397870 
0,1919508838 444234035047 
0,1751213433 2239868781455085694824 491327879540 1953390947 7629154 
0,1953394532 7958545959866430579 500068280676 7809651225044152168 29113321670862196 1802658157 1801545079 125779918943603 2129185219701642588008 1801545079 32495402240669043 
0,28259009759373428 1701669236 495857003619 
0,1835102823 1936618866 1952937068 1718378856 114849177102693 32199698154614131 110425477965171 1835102823 1952937068 
0,6912358 1701079410 521510478181 8606223248749588340 29113321704812397 7453010330678030947 435459026032 32765890658201460 
0,7827319 7234322969649046898 474108088538489757527397 9145416728982044875153888994145 32765890859591796 1953719650 521577455976 1702256995 500068280676 1953394532 28259039672952431 1836019570 125040764960650286042606949 
1,7564659 25441 1987342451 133476635534698 126909463029092 32767024680953188 6579570 495656528247 2036427888 6644585 133476500336488 32760384661385059 2146984569168531254889 521510348146 1987342451 
0,27421173275713901 8386115241555355763 2239073892818276803961 1684957542 32764812772865132 
1,8319381555649605475 1918985593 30506402751803507 107122481064291 1936941424 1819042147 64329039581190985985571120 31069370137474419 14487618099372397 949102766386541851763 1701147238 122664450848610684117481570 470033642801 1953394532 
0,7105641 1819042147 29113321804621165 
0,28258996689397106 
0,7598827532488762745 113668312819059 6906991 126879397995891 
0,418464558951 1801677168 125779852817762 1953390947 1702260589 1852399984 29113321670863211 
0,24936 24936 24936 1685024615 1701539690 495740676455 2037169923880746510707 32495402240796019 
0,7453010343294756963 29033 
0,2128686143694342942578 32199706527559526 
0,7496044 111516182736740 461229090915 6711671 24932 1919508840 32199693876687460 7239031 7632227 500136110195 7632227 1701013870 
1,110386924511606 8243115018434082147 28259043900746864 111546365011041 131277444769138 6451053 28258979761190753 52983609008835 495891410786 435845427824 1819042147 69174205680761316341463344 
0,521325014900 1735290739 1851984982545682163044 7954788 1735290739 7310575174727001444 1684956531 29301 7308324466036859254 495606198886 2037149810 
1,128017496502901 29301 28258979761190753 9622006770981083280355040784227 1885958772 469551022185079318410597 1986097780 232363939537488943473505 52983525122755 469919427683 7633012 7563620 211295483704 8574920818172933840662412388590820527585329 1074743888435231971379737756691335545607055475 3240812 6971699 
1,1918985576 28538315795229028 111503297634658 1936614763 439805637747 
0,435643575408 448629993325 
0,6840695 521492723052 7233901 1702257011 521392779117 6645096 
0,7234303221339941222 495857003619 
0,1700946274 418464555383 30840 
0,28554752517696363 131320377601913 1851983030964033054064 
0,1819042147 
0,29113321804882295 121364642226541 1819042147 1701147238 
0,1819242339 2036162227018675414375 499850244724 34186468354648420 32760384627893618 
0,32481138738947440 7956595 24944 
0,28556934527676527 1952937068 
0,6451050 7561588 1852989797 
0,7105641 1819042147 
0,1819042147 
0,435459026032 7233901 
0,7370105 
0,1819042147 1953394532 30243645579093358 500068479605 7564659 
0,1818322290 28537 32497601263921524 127978942194026 126896762025325 
0,28259048480666739 1684956531 8319401291259405682 1852399984 6579554 111516182736740 495773642595 34184295201595750 418565615463 1752392035 126922498795886 
0,32765890658201460 1700946274 
0,6384741 119200096870763 7233184988034199396 7234935 29301 1701147238 
0,1751213433 128242412318564 431348610163 435728378979 7301236 30518743804505977 448345170275 
0,1852399984 1952802157 499967813998 500068348019 1702125932 2037171606206283015777 8751739141725839715 128017497481576 134731171213272273086936179 8315162742501895785 1701669236 126943754545267 
0,435610545523 7310034283591462000 435610545523 1852399984 435610545523 28548142780609140 495841537904 1852399986 435610545523 829257075 495874897256 435610545523 525854795106 495623499628 29113321670667635 
1,1819042147 8243115018434082147 28538277257700723 2057904929767145547226013196379506 808466480 3749425 825438262 30804164411994161 7237495 474107080027869125113191 52983525122755 1752392035 52983525384899 435845427824 
0,128017497481576 7453010356363947120 7959906 461229090915 1868851564 3158837 2037171606206283015777 114844899371366 1802661751 
1,1701147238 7308901791011072370 29113321804882295 1851984984753346211683 133506649647475 1954047348 7237970109966541168 7891309 245722264888 133480762729846 491327615861 34169997255864930 7105894 28528 7892834 959722037 925985645 6828601 131324802250036 13873 
0,7453010330410836343 129087212119412 8386115258585345901 7627361 
0,114844899371366 495605346156 495773118316 7954800 
0,27511 1936486248 7629154 128021825744742 35729072761596267002782638440 140756726396614336456978529 125780121053299 1651470960 
0,7370083 111486184091491 2037169923880611573345 
0,1953394532 1954047348 
0,29301 435459551856 1735290732 465490634092 7234935 1801677168 6649441 7564641 30840 
0,7496035 7959906 1701344308 29113321838441060 1953719668 
0,32777976897693042 435610740077 435610740077 7697007 526783489944884770527615088281413997 33046296389645678 120265333040502 7628147 478996620133321889571171 32495402258030947 495857267312 2037411683 32480047632314982 478996620133321889571171 
0,7827319 500068280676 495857268071 121424974147426 7234925 28258992578979939 114776330036595 7957695015157985132 6519150 28258992578979939 8025443 121399102892403 121424974147426 
0,1634561397 1701210476 1635148150 1634561397 1702260588 7630700 1918985572 
0,7630700 126879381285239 8746382351123245410 113723912708461 8746382351123245410 1870931063292602180973 
0,499967813985 7105641 7629160 1752392035 
0,28777 32496501869798497 1953719668 125040764884655302513684323 8243122740717776739 1953395561 2147199615986146634093 125780104471923 
0,133523779711591 111516417222000 7171949 125780071048546 444234037612 2036427888 495622778730 
0,1953394532 521611145079 495857268071 2037609826 
0,119165787925616 1853189998 
0,444234035047 1908332069458876983652 
0,6711671 7565155 126888071227508 110386873459571 7239012 6840685 7565155 1685417836 
1,1953391975 32760367514808163 8314892193905337719 2002874980 7237495 52983525122755 435845427824 474107080027869125113191 1819042147 58284354638761749556246832 469919427683 1701080931 3290475 431265440118 495840670257 120329685972273 
0,24951 29301 121399102763119 7305804402549220723 119165703843686 1701734758 8025450 29812 474215637349 121399204410736 459995029210032396395895 31078144789802593 30506402751803507 7234309758397735272 
0,28259039673871973 474214457699 24944 521577455976 2036425826 1936944994 1953260902 30506402751803507 1684763489 448344782188 448344782188 28259048331046505 2147777197214030458977 
1,125779969993079 2239868759477703766131 7234316346692756851 28559167692432754 52983525122755 34165556075327336 32497614082108518 461195538547 1702259052 8245937404618567791 469919427683 37571197536666288755343888416169845536816 14385 
0,478426394471 461195538547 133459203420774 2055974704184876820325 478510604658 7020105119344783220 110386638841198 
0,521526930792 435610152565 7234308714703253097 113723913625968 119225866281843 8749496146326612324 7564400 7959906 1685024614 
1,28556934595048048 875573298 32772547957449569 2147777197149639505011 69164834879171816263726896 3553335 474107652256613841137269 495891410786 126943905804144 469919427683 1819042147 67946334767313375037175856 540220495072354615256169 1701080931 245672064308 32481164391381093 
1,128017496502901 111516298932077 28258979761190753 52983525188291 495891410786 125779936305507 435845427824 858798389 465491093862 32760367514808163 1819042147 7308895159531233644 67965317113512122767128880 468569381315203074387810 120329685972273 
0,32496501869798497 2199087038358636588814004856582241 34176611186925933 
1,126965162209140 1633972086 32495402090329454 942945591 7234316346692756851 28559167692432754 3159347 431415719777 448345170285 1819042147 58265483475180971493898288 29113321805280625 469919427683 1701080931 825503796 7237954635114312819 495623364978 7368801 
0,444234035047 7299443 30061 521325014900 12849 
0,2479203267 32760401605522032 7627127 1701669236 119214279140291 114844899371366 113723913631074 
0,1685024615 439805637747 
0,122575782034713791322615403 500069261672 521392779117 1954047348 125779869724514 29113321536775539 1953394532 28559180746354281 8389753572827293811 28259044136349033 435459026032 1871437443359839318113 
0,1836019570 
0,7955816 1819437415 1701867368 1819043191 7103844 7037282 1735290732 1701669236 1819042147 7173491 1701669236 132458827969900 
0,512970222443 1953722211 
0,1918985572 1819042147 545072497958561644506484 479105854939019635549025 
0,125780121316961 7957695015460107633 
1,7308895142603027827 2053731697 2037148535 7235959 7368564 2037280627 6583908 125780153691248 34184316576952163 28559206280293473 7633012 1920167521 237149237816 207050875587 7308901782723522675 
1,1684627820 32765890658201460 1818322290 29113321586650980 2129333263491756420972 127970252581220 29301 6451053 1852403562 7564149 32777976662876524 29113321586650980 30243645579093358 29794 113723913304180 119183033594471 241461377334 29806 1630692197 529794322755441646383411 
0,6709608 7238509 568219582186168819495089296961595769 
0,1819042147 1952802157 
0,461229090915 495757258610 491495253346 544942865495882441450337 
1,465676103545 7758706 1936159597 1952540771 6518387 1701147238 7310027617853399400 8315161591619413363 1954047348 241461442870 6645601 133480762729846 29305 30243645579093358 
0,2038063468 1701869940 128021825744742 3166872515 1952671084 448345239408 1701013870 
0,1954047348 
0,7498099 29113321804882295 1818845549 
0,7632755 32765890859591796 1919252078 431198726516 126888071227508 28548142445522796 32491047279027568 139505446564375020325990243 126888071227508 133523912745839 32777976662157666 126943972386152 6583655 3697006 
0,7564400 1852141679 
0,24953 7630692 
0,439804327027 495857003619 
1,29118836290974310 128017497481576 28259001136342386 1954047348 521375998322 2037933427 111516165432678 1702259052 465490374508 7763308 1918985576 2220917624366127408494 582515018132543788765040962207954992 6779757 521510348146 
0,2000060266249613831541 1819042147 461229090915 491596508777 1701210476 491261288817 7564400 2036429424 1685217640 
0,26987 28259048263279972 32760367514808163 
0,504196131187 6451050 418431265122 1952870259 
0,1701734775 29113321855609958 7453010373394195822 
0,7370105 7039092 1701734755 125780071048546 7565155 418665032816 6840685 
0,29301 30506377083386228 521510348146 
0,32777976897693042 435610740077 435610740077 7697007 526783489944884770527615088281413997 33046296389645678 120265333040502 7628147 478996620133321889571171 32495402258030947 495857267312 2037411683 32480047632314982 478996620133321889571171 
0,1953655140 491495844966 32500942631758199 500135716979 1852141679 448630452077 29113321855609958 469785473636 1718378856 126879548794979 1701669236 7958378 1937010540 30324 7105641 495857268071 126888071227508 500152498277 1852399986 1818845544 1953720685 1701669236 
0,140728428802413065181028705 1802661751 
0,29113321837913452 435728772968 
0,478560413032 1702260588 2202470046875522461289 521325014900 521577455976 1685024615 7958370 435710682477 29113321788762477 
1,8243115018434082147 28538277257700723 140756726392380138653118049 495840224633 8751168585183552868 29113321804882295 1819042147 64314872122585825766553392 28542696426730081 8751168585183552868 
1,125779969993079 2239868759477703766131 7234316346692756851 28559167692432754 52983525122755 1752392035 34165556075327336 32497614082108518 461195538547 1702259052 8245937404618567791 469919427683 3818184493593364936524702365744 
0,1885693291 1701208435 2037804645 1936024947 1818322290 1701210476 
0,7496035 435728772968 7598545013801378160 6451050 1684955496 
0,1702260588 28259048329803877 7954788 431348871283 521577455976 
1,7564400 35732746577748080388463357794 6697523 7453010382051241577 110425310589542 521510348146 57394527954297 224197373806 168743124779632553899871642381603494378249276323703 1684956531 1684959846 241427558966 
1,2128681077097416778082 29301 491327353455 28559167692432754 28538277257700723 6779757 7233184988034199396 29301 32772479322582883 1869901671 7364983 422642082146 30324 29301 111516298932077 526438296877370894741353694103891561 1970169197 
0,435459026032 29301 126943905804144 8315178135799493987 111516500389741 
1,128017496502901 32760367514808163 8314892193905337719 2002874980 7237495 206967513795 435845427824 474107080027869125113191 1819042147 69150667417466007551228208 469919427683 1701080931 3750003 431265440118 495840670257 
0,1684959846 1953719650 431265642081 537045991531834486830966856727357805 7629175 28259057020986722 
0,499850244711 111533344650085 521359221094 111494740669026 491327545708 1869442932 
0,573405903366799248682851 1982043603854280519526 491328402549 435745415543 
0,7498099 1936291937 1802396002 32772547957449569 1802396002 32496501869798497 
0,1835887976 7039092 1701999987 1701669236 7368552 6582881 24953 1701147238 7627361 8025453 1819042147 32496570338601316 1868654956 
0,1701669236 113723912843107 
0,133472273263714 1819043176 1953390947 128021825744742 28549237880026483 7105641 1702194275 29400294238548083 
0,1819043191 418464558951 114844899371366 1752457570 7308895133761498983 499967813998 
0,435779104633 521392779117 126922397999459 1819042147 
0,444234035047 1819042157 
0,495774233972 32480047632314982 29113321888248947 1952937068 1818584422 1701147238 431130765409 435594161523 1952937068 448630255479 
0,1954047348 128017731252068 521510348146 6778732 
0,435594162291 7018986898587541869 1851981891887217009011 478793197313388281100389 521510348146 1819045748 1701147238 
0,110386907343212 495623106408 491327481455 521392779117 448629993325 544942788644387792384097 495874897256 7453010403442127987 3699303 28268879543625079 
0,7106412 500153283188 
0,2036162227018675414375 499850244724 34186468354648420 32760384627893618 
0,1937339751 435728378979 
0,444234035047 7311983722002477671 
0,478560413032 7308620311689060712 29113321536776550 6451050 2038063468 29113321654480759 7628142 521526932845 133519602446178 
0,1634230632 28549298092603233 111550860781933 
1,1819042147 8243115018434082147 28538277257700723 2057904929767145547226013196379506 1871078845343198442086 942684208 3486769 842282804 30804129046421817 7237495 474107080027869125113191 52983525122755 1752392035 52983525384899 435845427824 
0,1935764856 478509556082 495622908276 
0,7566698 28258996689397106 435544154466 7563635 7628142 8315167131908860262 
1,111555088313973 1684957542 1752444979 128039239775585 2396409777159896441925564205843781674908219255 
0,6649449 110386806878058 111554920015212 111516417222000 1953394532 1885693291 448345239412 499850244711 1818322276 110425310589542 495622908276 499850244711 7809644653794452848 1953722211 499850244711 1801807223 
0,34177684928883046 1851984986982501412707 111546515943267 
0,495957668979 7565935 465726043251 
0,1701867368 435779104633 28259014155724147 119225866281843 1918985593 121399003015543 3699303 7954788 
0,6583655 1735291501 1918985572 7758184 1701013870 7954788 
0,32491047279027568 521610949747 
0,32199698172174696 1684104548 7955816 7499124 1952802157 7172145 28273260359807599 7631469 
0,1702125931 29113321703962213 1701867368 8606223248749588340 7629154 133472273263714 549666022929982441021794 7633012 7895160 
0,6516325 1952937068 
0,1952937068 495722919266 
0,478560413032 121399070056804 6649449 7234303221339941222 28542657956179811 7633012 114844899371366 1702260588 1702125931 7895160 
0,32772547957449569 7234307589321155954 7499369 140723798091775788118733932 31389019605278880904632231275 28263364889506416 32772547957449569 28538298379821410 29554 140723798091775788118733932 133507968131989558834328180 29291 1952937068 
0,125040764600096212615393127 7453010364803148915 24935 
0,1819042147 491328400481 12593 
0,2479203267 7627108 7239012 7959906 7957706006013244005 7304047 452655936111 7496044 
0,28259039673871973 474214457699 24944 521577455976 2036425826 1936944994 1953260902 30506402751803507 1684763489 448344782188 448344782188 28259048331046505 2147777197214030458977 
0,499967813985 28537 1937006948 8388068008281666675 1734831972 
0,521515500515601310183267 521325014900 140723798091775788118733932 110425578825074 1819044194 
0,500085778547 6777186 495605346156 521375147378 
0,1987408482 1701867368 499850244711 461195539042 1907970640251234772338 8243122731943290227 
0,1952540771 
0,146754427481874679172918123 1819043191 
0,7370105 3166872515 6647662 6841708 
0,126875187113843 499850244711 
0,34177684928883046 448345170285 29113321535923560 2002874980 521515500515618321691248 
0,431198726516 128017497481576 500101901427 1819043191 126943805008238 
0,2037604709 474148464737 7234316346692756851 1685024615 
0,1835104357 448345039213 
0,1751213433 29799 7173217 8243122732010005874 1701999987 1701999987 521375147378 
0,1651470960 29301 1701669236 
0,29551 110386773516643 129074209055349 488440486149518796222057 1685217640 33055139559598436 29551 2037411683 495622842726 120282512849267 125796931888498 1886349427 
0,7105641 1819042147 
0,6841708 111546515943267 121381957165416 7496044 7163384699739271026 7566698 7629154 7499628 7039092 1702127982 34184252151391091 1701013870 6841708 
1,3158069 32481138620657517 875573298 7633012 418380476270 228509169976 32760384560328547 2018725697791407189876 3252931 2258096518265012975479 32780218853781298 1377847977782476049964204007653900377526529479496019949616 
0,479105856333166071017569 1819042147 1802264948 
1,1952802157 29301 469785473636 32199672419475824 29301 125779819258211 444235082854 500135195763 1684957542 1701147238 7633012 1869770600 29301 1918989427 1852270963 1869770600 495622648417 
0,7955816 34179836959092579 418446928997 28528 8460122269826708845 
0,1701210476 127970319692915 32199646363346292 2054120290 32199646363346292 32481121340056948 121424957367660 7368033 8319383767507431267 1835104357 1701210476 8319383767507431267 1835104357 7368033 32481121340056948 32491047279093100 521577455976 29113321704812397 
0,1918985572 1685024615 29113321704812397 
0,132233095278036935429218663 1802264951 495857922659 7632227 1684107122 1701079411 1952937068 127978842518643 1684107122 1852994932 
0,1918985572 444234035047 125779767883122 435459026032 
0,34184252253036898 1684367716 1751213433 
0,28554752517432697 30324 1802661751 435459026032 
1,1954047348 1952802157 2037933427 521325014900 1684957542 500135717990 1852403562 7352369 521510348146 6645601 7168371 13618 14385 6779757 604423999308159841293685205464474994 435459876208 
0,28259048414081648 1952937068 8318827328993194101 
0,7105641 125780053945443 7566690 127978842518643 
0,31073746793361273 7104887 448343926130 
0,133532402149492 8389754676633367137 1936615799 2037169923880746510707 495623303020 121424957302128 1953394532 435761410657 29301 32480047632314982 1801677163 7368033 32760384661385059 
1,15226657871667990455146460212 127979059635571 32199689414468705 32760367514808163 431349130869 30506385890701938 126905251096692 29301 131075800596913234884522099 66761076408856062605670704 
0,8606223248514707316 465491093862 29113321770804584 123623997202796 1702060387 1953390947 
0,34503297565128585270977064112104642276464 7103860 500068349537 33903941178585203 
0,29113321704220787 500068083053 29113321704089971 126875187113843 125780071048546 
0,1684828020 7627108 1734959458 1701011814 32481121341301111 448345170295 7565155 29286 7627108 6649461 521325014900 28258996690710388 
0,1953394532 8243102914964186482 511812508364248139525987 
0,1702125932 28556968903992695 500068280676 1953394532 8318822995303427187 
0,431198270305 1819042147 
0,126896627802475 7627106 6581810 32483346234633833 
0,500068280676 1802661751 2147345410175706034023 7105641 521375147378 1701669236 1701536119 133506682414436 110386891417965 1685024615 499967813998 482737482867 
1,599354030750567440946338419190951779 29301 28258979761190753 3158069 25699 8318822960726372214 32763700187574833 474107080027869125113191 1701147238 521611275877 3158065 2037148535 2002874980 7633012 426970936685 232837363512 1935896180 22293688010142909081195999739301977135768737316133741889821570935 
0,29401393683915122 7102819 1685090916 116966763619684 118066241693028 1852402997 1684828008 
0,7234935 29301 28548142445522796 495757648738 521610423905 6580599 7630436 2239870751818644612467 8023907 521610423905 7526475282302724195 1702195828 29113321855608947 1885693284 2037169923889067091553 1701994851 7763308 27413502598866283 418296783213 1701013870 7954788 24932 
0,8606212206371630948 
0,495957664819 7453010364987959411 34179836959092579 495622775156 1936422706 1936749429 495622775156 1801807223 6775148 435442774626 128039139699054 439805637747 
0,435627582828 521375147378 
0,1953394532 127970252453989 121398934725992 
0,7171437 521526932857 1700946274 1701013870 1953263466 2038068595 
0,491328532332 
1,32760367514808163 521510348146 491327481455 478442449270 32762643579036008 3159351 28549272340885089 8316866959940805998 1936615789 1851984991384725384821 1954047348 2110234914721125720419 521510348146 1819042147 64300760074859760017487920 
0,1839383401 110386757132656 1768843629 113723912843107 521325014900 
0,7370105 
0,444234035047 7453010364988352627 7565155 7563635 7239012 27710396508105060 1868654956 
0,474316305772 270211886184873277403440 1735289202 29301 
1,7955816 521544036200 1952540771 431198265710 1954047348 7630696 241478023478 1954047348 28258992646088803 470033642801 122566244847085121111813749 1954047348 241478023478 
0,1953392996 
0,1634623863 1851878512 1885958772 28549319333080947 
0,1701999987 1684828008 
1,29301 7308901791011072370 28538277257700723 28258992578979939 13618 1701147238 32497618326483555 568219584347780055913350126699375715 111546465216611 32772479322582883 7633012 1651862627 207084336952 118160727487793 224990162019 28528 15257034630393698 892627821 7632690 
0,7304805 7233184988034199396 448612363366 32498743741867370 
1,7308901791011072370 1651862627 27509 32481138587887987 500135192675 111516298932077 1801807223 111546465216611 7368564 34186468320703857 7308901791011072370 28542640894207341 1701147238 111494975023203 
0,30061 29113321805475699 2128538953180666552686 2037169923880746510707 
0,499967813998 431197810277 7954788 29113321704812397 30506402751803507 435610545523 521543775603 1937334642 126879614985580 32481125887799159 1702194274 1702194274 7954786 
1,7761256 495891410786 30506402751803507 3158069 126875187113840 28550371868566887 7761256 8318822960726372214 7237495 125780121316961 2037604709 2129333263492058543473 2036427888 1684956531 7761256 241461245496 2683341109780575069527948696863253986593550508657356467817 
0,6714229 495857268071 1819043191 7496035 
0,2037169923889067352687 26210 113723912843107 
0,6451058 1801675117 26215 32199697869662324 
0,28549298092603233 7105641 7629154 
0,1701869940 1685024614 
0,110386639429992 35724284097586128130763679075 1819047270 444234037107 
0,110386773516643 1819242356 
0,7234935 121424957302128 573405903371205767226724 30506402751803507 121424957302128 30506402751803507 126197965821947587707889003 435778053223 
0,431198270305 521392779117 
0,1701407599 
0,1751213433 465491555189 1937339751 110386891415920 499967813998 431315970145 7105641 512970877044 
0,32765890658201460 495857003619 521510478181 
0,2036490594 31078191849632355 1819437415 110425310589542 1819042147 1920298856 32765890658462817 1701736294 1701736294 1702260588 521543771498 7895160 
0,1701210476 7630700 1702260588 1701210476 1702260588 111516417222000 1701210476 495740281187 32480047632314982 1819042147 25959 
0,2000057998034518238564 1818845549 573536178430304483962740 131075800959192403486602355 111550524584053 35715816893622985536723382132 36336024026140909229372238703 122580705871713848079508581 107101240910194 32780163035720815 1685024615 1818322290 435728311667 
0,7955816 1684828020 30787873719804263 
0,6709608 1818584422 110404021089395 24932 7168355 29113321654480759 
0,1936748399 7629154 
0,2038068578 
0,37578761990205212975853429601 28259048263279972 28542640894207341 110425311241586 
1,28548172526611828 8243115018434082147 469919427683 1701147238 107143955833187 435644491888 28539342341763189 7954800 7170419 1685217635 34186481022627692 1819042147 892614704 3224112 2110235464476080485939 1935961701 544906759570253075986482 521510350945 
0,2037169923880746510707 1819440487 122651099225524720607719521 
0,1953658216 435727459700 7959139 1701210476 6646116 8023152 1885693291 1702063986 435777794663 110404021089395 1701013870 7954788 119268933661538 
0,1953390947 1801677168 435644491888 7564400 1684956531 28542640894207341 
0,111486184091491 8389750235536912244 1701669236 1801807223 
0,28549298092603233 8243102914964186482 1701669236 1751607656 1701669236 119182983522660 
0,1953065075 7453010343295412339 521610027891 1953390947 28550371632835945 110425477965171 6710628 499967813998 448612364899 499967813998 1702257011 1769496948 
0,1685024614 111494740669030 1818322285 32765890658201460 
0,512016288084594998996855 491496170337 
1,7564659 25441 431349132386 30004 54371675303794 7156018 7954875798910231137 110386907541109 30803249484163435 461229090915 29112222226871400 7564659 69407748777404871716221747493156119393 431349132386 495623364964 1684956531 1701079400 
0,7370105 1651336562 1802465122 
0,7565162 1634623863 1952802157 
0,7106412 530849480678967343673958 29113321587106152 110369476601972 7959906 439805637747 
1,108230716254324 461229090915 128038972384622 2037169923889067484531 32772479322582883 495622906215 495622975348 123598210821991 495622185314 500136112243 1885693291 111516298932077 7629158 521493443942 1954047348 7364983 241427558968 
0,111494690922855 1937335659 1889378659492051251042 
0,521325014900 128026086171489 1970889060 128026086171489 32199646649479778 125780070984051 491328532332 212372383076 212407117154 212390079587 1852632943448268371564 28268935295300458 7236847435345327459 2110887936607182547308 110459838293346 8390876143916709747 28268935295300450 2037149810 521526406757 
1,29301 500135193971 7235959 206967055043 1801807223 133506565236087 2053731697 1954047348 2036427888 215590516024 126870992940910 119029246615286580289366391 28528 7892834 13368 3551853 8025395 13873 507163646184021782717031 
0,1819043176 1819042147 32480047632314982 521392779117 573405903371205767226724 113723913631074 1801807223 
0,2036425778 119165703843694 32485519673352567 1818322290 29301 29666427642932853 1701867368 1953719666 111490529786221 1701867368 1684957542 7630711 1953722220 
0,7954788 499850244711 7954788 
0,1870285922662975892331 521577455976 119165602918256 
0,1835887976 495857268071 25195 491328597872 1634168697 1634230632 478594102628 474080633204 491328597872 1634168697 1953459809 7039092 28524 7304047 128021825744742 1868654956 
0,1701082468 32480047632314982 110403769230945 
1,8243102914963531108 111516298932077 126892467106097 7234307623681814117 111550524584053 128038972186988 125848706117475 107143955833187 111516298932077 1701147238 1819042147 111516298932077 111550524584053 1701147238 65509723221715484312352816 
0,111486184091491 1701536099 495857268071 
0,521611142509 2128395963909778073699 1700946274 1702260588 24953 126879565834603 
0,7955816 1953394532 448345170295 7234925 448344782188 1634230632 
